,ix,score
0,36838,0.023813247680664062
1,4919,-3.695620695749919
2,30564,-0.645470142364502
3,4259,-1.491796175638834
4,23480,-4.210547844568888
5,36758,0.514745394388834
6,8067,-1.8180085817972813
7,2453,-1.9739058812459298
8,7369,-0.9962407747904463
9,11216,-4.210695028305053
10,37938,-1.67265526453654
11,2844,-2.721033811569214
12,7786,0.5120304425557451
13,5411,-4.586596250534058
14,5018,0.48955535888671875
15,19205,1.0364875793457031
16,5940,-4.235615332921346
17,30217,0.02942180633544922
18,21627,-3.6064005692799888
19,17163,1.7343897819519043
20,35720,-1.2612980206807451
21,29322,-1.6247603098551426
22,13900,-3.0624886353810634
23,5665,0.7682760556538897
24,1816,-3.4995880126953125
25,8565,0.03404315312703421
26,30710,-3.6724893252054844
27,4269,-3.2595008214314767
28,9868,-3.7046988407770796
29,7787,-3.4201556841532392
30,14178,-2.41907278696696
31,35240,-4.508959611256917
32,15966,-4.22889800866445
33,14185,-3.4072775840759286
34,9312,0.34006690979003906
35,32534,0.17998663584391394
36,12771,0.24637476603190134
37,36688,-3.2135857741038003
38,16517,-2.820156574249268
39,192,1.049423535664877
40,961,-3.709469556808472
41,35768,-3.112247149149578
42,30178,-2.9844043254852286
43,25635,-4.570479075113932
44,13821,-4.363415718078613
45,15806,-1.0734604199727364
46,17683,-4.16269572575887
47,5589,-3.7472733656565342
48,22805,-1.0938982963562003
49,1855,-3.1094125111897792
50,33336,0.3184402783711757
51,9596,-1.5072907606760664
52,13428,-0.9091835021972656
53,4804,-0.3370329538981114
54,22354,-2.4879226684570317
55,8450,-3.641697883605957
56,36109,1.60866896311442
57,26155,-3.855649789174398
58,24204,-4.508894006411234
59,32513,0.3697200616200771
60,666,0.4290361404418954
61,16303,2.275657018025715
62,3127,-0.4215372403462725
63,15142,-2.6891465187072745
64,14615,-2.997450510660807
65,23207,0.9498295783996582
66,7781,1.4753252665201835
67,24853,-4.462668816248576
68,5194,-3.663429657618204
69,33339,-2.5812465349833174
70,35678,0.2569750944773359
71,6798,-0.527332941691081
72,37133,-1.9835247993469238
73,24999,-2.539405981699626
74,491,-2.2800237337748204
75,35382,-4.107421875
76,17844,-3.8745663960774728
77,18828,-3.084587574005128
78,22708,-3.3846230506896973
79,20896,-2.050916989644369
80,37096,-1.0668724377950038
81,8035,-3.2023855845133458
82,1735,-2.1540929476420088
83,29127,-1.8622598648071298
84,25426,2.1323399543762207
85,6906,0.35327847798665246
86,2777,-1.1812426249186192
87,29482,-1.1451115608215332
88,32965,-0.7551366488138838
89,32854,0.9970073699951172
90,12111,-3.659508228302003
91,35377,-0.12243636449177941
92,37777,0.08373196919758996
93,2674,-2.5089174906412763
94,37944,-2.0204297701517744
95,10710,-2.5214883486429853
96,36168,-3.877621014912923
97,21204,1.4997895558675154
98,4774,-1.8044778505961094
99,7497,-4.366605281829834
100,8469,-3.380714972813924
101,37541,-2.91743008295695
