,ix,score
0,19165,-1.2562777201334647
1,14865,-4.379981676737467
2,2791,1.3060280481974296
3,21428,-3.8872527281443277
4,15340,-1.7037583192189532
5,25625,0.4923841953277588
6,23668,0.044927120208740234
7,1979,-1.2397907574971514
8,21754,-3.460044701894124
9,8426,-3.8216629028320312
10,11951,0.2636383374532061
11,6897,-1.5752348899841309
12,22264,1.452006657918293
13,2376,0.12135783831278424
14,23017,1.1320649782816563
15,20432,1.2614419460296622
16,22512,-2.601007143656412
17,1734,-3.470372200012208
18,1302,0.590176423390707
19,18767,-4.288454532623291
20,19073,0.42891709009806345
21,6422,-0.4323259989420576
22,1815,-2.359499931335449
23,7631,-1.357999563217163
24,23822,-3.3423403104146328
25,3975,1.514861424763998
26,23450,-0.4321589469909668
27,12457,-2.1581841309865313
28,11301,-2.0069727102915444
29,3644,-3.7485257784525556
30,21915,-1.2208061218261719
31,2863,-3.1591723759969073
32,3806,-4.135642210642496
33,17934,0.4607238769531259
34,25597,1.3482429186503104
35,14612,-4.070232073465983
36,7923,-3.168716589609782
37,7743,-1.5140353838602714
38,5691,-3.0037868817647304
39,2763,1.296842098236084
40,1506,-0.3180135091145839
41,25438,-0.7003542582194022
42,9978,-3.1402619679768877
43,10103,0.9839663505554199
44,10091,-3.0116980870564776
45,23148,-0.35631195704142193
46,2253,-0.8399674097696952
47,9129,-4.083104133605957
48,15078,-0.36324469248453806
49,3146,-4.017427841822306
50,4100,-3.231632550557455
51,4332,-2.4179348945617676
52,8385,-1.301689624786377
53,11794,-1.5864362716674805
54,22991,-3.507593552271525
55,20716,-0.14880975087483694
56,9722,-2.4115395545959473
57,13192,-3.6047886212666826
58,16966,-2.3853031794230146
59,3690,0.6626116434733067
60,24145,0.08675154050191214
61,21739,-4.107640902201336
62,7206,-4.325114885965983
63,25599,0.4424098332722979
64,18474,0.12047624588012695
65,24903,0.8464137713114415
66,4037,-0.0989384651184082
67,3404,-3.9423402150472007
68,9606,-3.628449122111002
69,16523,0.30902814865112305
70,22539,-4.220129489898682
71,23236,-2.6900501251220703
72,25440,-2.820445617039999
73,25072,-2.884500662485758
74,1165,-3.9936056931813555
75,3015,-4.243139545122782
76,17069,0.20372327168782434
77,6780,-1.2610873381296797
78,7290,0.03968063990275095
79,22186,-4.064653913180034
80,19781,-0.21571063995361328
81,12185,-4.217148145039877
82,4637,-2.6360286076863613
83,5367,-3.67622447013855
84,566,-3.495201428731283
85,2254,-3.862815221150716
86,4865,-0.1608448028564453
87,2062,-3.0435986518859868
88,4721,-2.982431411743163
89,2535,-4.530492186546326
90,8593,2.325108051300049
91,13942,-1.2554222742716474
92,17444,-2.845972379048666
93,25648,1.1926507949829102
94,10034,-1.247281551361084
95,8760,-4.060955047607422
96,9718,-2.909523804982504
97,16304,-0.7276274363199864
98,19214,-0.37392687797546387
99,19140,0.7508107821146641
100,12506,-3.7724870045979815
101,6656,-0.37788836161295514
102,2117,-0.204070409138998
103,9423,0.914413134256999
104,21543,-3.520110607147217
105,21387,-3.697513898213704
106,11116,-3.163930892944336
107,15108,-2.5682895183563232
108,23508,0.017205079396566347
109,24152,0.054334163665771484
110,4839,-4.084315220514933
111,8671,2.3293754259745274
112,10629,0.6494577725728359
113,21651,-2.2694477240244546
114,13991,-2.2983563741048174
115,8990,-2.64395268758138
116,855,-4.222006718317667
117,25020,-2.9417411486307783
118,22869,-1.3279770215352373
